CÓDIGO,DENOMINAÇÃO ATIVIDADE,ATIVIDADE/ USO
81.22-2-00,Imunização e controle de pragas urbanas,Comércio e serviços
81.29-0-00,Atividades de limpeza não especificadas anteriormente,
81.30-3-00,Atividades paisagísticas,
82.11-3-00,Serviços combinados de escritório e apoio administrativo,
82.19-9-01,Fotocópias,
82.19-9-99,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,
82.20-2-00,Atividades de teleatendimento,
82.30-0-01,"Serviços de organização de feiras, congressos, exposições e festas",
82.30-0-02,Casas de festas e eventos,
82.91-1-00,Atividades de cobrança e informações cadastrais,
82.92-0-00,Envasamento e empacotamento sob contrato,
82.99-7-01,"Medição de consumo de energia elétrica, gás e água",
82.99-7-02,"Emissão de vales-alimentação, vales-transporte e similares",
82.99-7-03,"Serviços de gravação de carimbos, exceto confecção",
82.99-7-04,Leiloeiros independentes,
82.99-7-05,Serviços de levantamento de fundos sob contrato,
82.99-7-06,Casas lotéricas,
82.99-7-07,Salas de acesso à Internet,Comércio e serviços
82.99-7-99,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,
84.11-6-00,Administração pública em geral,Governamental
84.12-4-00,"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais",Educacional
84.13-2-00,Regulação das atividades econômicas,Governamental
84.21-3-00,Relações exteriores,Governamental
84.22-1-00,Defesa,Governamental
84.23-0-00,Justiça,Governamental
84.24-8-00,Segurança e ordem pública,Governamental
84.25-6-00,Defesa Civil,Governamental
84.30-2-00,Seguridade social obrigatória,Governamental
85.11-2-00,Educação infantil - creche,Educacional
85.12-1-00,Educação infantil - pré-escola,Educacional
85.13-9-00,Ensino fundamental,Educacional
85.20-1-00,Ensino médio,Educacional
85.31-7-00,Educação superior - graduação,Educacional
85.32-5-00,Educação superior - graduação e pós-graduação,Educacional
85.33-3-00,Educação superior - pós-graduação e extensão,Educacional
85.41-4-00,Educação profissional de nível técnico,Educacional
85.42-2-00,Educação profissional de nível tecnológico,Educacional
85.50-3-01,Administração de caixas escolares,Comércio e serviços
85.50-3-02,"Atividades de apoio à educação, exceto caixas escolares",Educacional
85.91-1-00,Ensino de esportes,Educacional
85.92-9-01,Ensino de dança,Educacional
85.92-9-02,"Ensino de artes cênicas, exceto dança",Educacional
85.92-9-03,Ensino de música,Educacional
85.92-9-99,Ensino de arte e cultura não especificado anteriormente,Educacional
85.93-7-00,Ensino de idiomas,Educacional
85.99-6-01,Formação de condutores,Comércio e serviços
85.99-6-02,Cursos de pilotagem,Comércio e serviços
85.99-6-03,Treinamento em informática,Comércio e serviços
85.99-6-04,Treinamento em desenvolvimento profissional e gerencial,Comércio e serviços
85.99-6-05,Cursos preparatórios para concursos,Comércio e serviços
85.99-6-99,Outras atividades de ensino não especificadas anteriormente,Educacional
86.10-1-01,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","Hospitais, clínicas, centros de zoonose e similares"
86.10-1-02,Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências,"Hospitais, clínicas, centros de zoonose e similares"
86.21-6-01,UTI móvel,"Hospitais, clínicas, centros de zoonose e similares"
86.21-6-02,"Serviços móveis de atendimento a urgências, exceto por UTI móvel","Hospitais, clínicas, centros de zoonose e similares"
86.22-4-00,"Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências","Hospitais, clínicas, centros de zoonose e similares"
86.30-5-01,Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos,"Hospitais, clínicas, centros de zoonose e similares"
86.30-5-02,Atividade médica ambulatorial com recursos para realização de exames complementares,"Hospitais, clínicas, centros de zoonose e similares"
86.30-5-03,Atividade médica ambulatorial restrita a consultas,"Hospitais, clínicas, centros de zoonose e similares"
86.30-5-04,Atividade odontológica,"Hospitais, clínicas, centros de zoonose e similares"
86.30-5-06,Serviços de vacinação e imunização humana,"Hospitais, clínicas, centros de zoonose e similares"
86.30-5-07,Atividades de reprodução humana assistida,"Hospitais, clínicas, centros de zoonose e similares"
86.30-5-99,Atividades de atenção ambulatorial não especificadas anteriormente,"Hospitais, clínicas, centros de zoonose e similares"
86.40-2-01,Laboratórios de anatomia patológica e citológica,"Hospitais, clínicas, centros de zoonose e similares"
86.40-2-02,Laboratórios clínicos,"Hospitais, clínicas, centros de zoonose e similares"
86.40-2-03,Serviços de diálise e nefrologia,"Hospitais, clínicas, centros de zoonose e similares"
86.40-2-04,Serviços de tomografia,"Hospitais, clínicas, centros de zoonose e similares"
86.40-2-05,"Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia","Hospitais, clínicas, centros de zoonose e similares"
86.40-2-06,Serviços de ressonância magnética,"Hospitais, clínicas, centros de zoonose e similares"
86.40-2-07,"Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética",
86.40-2-08,"Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos",
86.40-2-09,Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos,
86.40-2-10,Serviços de quimioterapia,"Hospitais, clínicas, centros de zoonose e similares"
86.40-2-11,Serviços de radioterapia,"Hospitais, clínicas, centros de zoonose e similares"
86.40-2-12,Serviços de hemoterapia,"Hospitais, clínicas, centros de zoonose e similares"
86.40-2-13,Serviços de litotripsia,"Hospitais, clínicas, centros de zoonose e similares"
86.40-2-14,Serviços de bancos de células e tecidos humanos,
86.40-2-99,Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente,
86.50-0-01,Atividades de enfermagem,"Hospitais, clínicas, centros de zoonose e similares"
86.50-0-02,Atividades de profissionais da nutrição,"Hospitais, clínicas, centros de zoonose e similares"
86.50-0-03,Atividades de psicologia e psicanálise,"Hospitais, clínicas, centros de zoonose e similares"
86.50-0-04,Atividades de fisioterapia,"Hospitais, clínicas, centros de zoonose e similares"
86.50-0-05,Atividades de terapia ocupacional,"Hospitais, clínicas, centros de zoonose e similares"
86.50-0-06,Atividades de fonoaudiologia,"Hospitais, clínicas, centros de zoonose e similares"
86.50-0-07,Atividades de terapia de nutrição enteral e parenteral,"Hospitais, clínicas, centros de zoonose e similares"
86.50-0-99,Atividades de profissionais da área de saúde não especificadas anteriormente,"Hospitais, clínicas, centros de zoonose e similares"
86.60-7-00,Atividades de apoio à gestão de saúde,"Hospitais, clínicas, centros de zoonose e similares"
86.90-9-01,Atividades de práticas integrativas e complementares em saúde humana,"Hospitais, clínicas, centros de zoonose e similares"
86.90-9-02,Atividades de bancos de leite humano,"Hospitais, clínicas, centros de zoonose e similares"
86.90-9-03,Atividades de acupuntura,"Hospitais, clínicas, centros de zoonose e similares"
86.90-9-04,Atividades de podologia,"Hospitais, clínicas, centros de zoonose e similares"
86.90-9-99,Outras atividades de atenção à saúde humana não especificadas anteriormente,"Hospitais, clínicas, centros de zoonose e similares"
87.11-5-01,Clínicas e residências geriátricas,
87.11-5-02,Instituições de longa permanência para idosos,
87.11-5-03,"Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes",
87.11-5-04,Centros de apoio a pacientes com câncer e com AIDS,
87.11-5-05,Condomínios residenciais para idosos,
87.12-3-00,Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio,Comércio e serviços
87.20-4-01,Atividades de centros de assistência psicossocial,
87.20-4-99,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química e grupos similares não especificadas anteriormente",
87.30-1-01,Orfanatos,
87.30-1-02,Albergues assistenciais,
87.30-1-99,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,
88.00-6-00,Serviços de assistência social sem alojamento,
90.01-9-01,Produção teatral,
90.01-9-02,Produção musical,
90.01-9-03,Produção de espetáculos de dança,
90.01-9-04,"Produção de espetáculos circenses, de marionetes e similares",
90.01-9-05,"Produção de espetáculos de rodeios, vaquejadas e similares",
90.01-9-06,Atividades de sonorização e de iluminação,
90.01-9-99,"Artes cênicas, espetáculos e atividades complementares não especificados anteriormente",
90.02-7-01,"Atividades de artistas plásticos, jornalistas independentes e escritores",
90.02-7-02,Restauração de obras de arte,
90.03-5-00,"Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas",
91.01-5-00,Atividades de bibliotecas e arquivos,
91.02-3-01,Atividades de museus e de exploração de lugares e prédios históricos e atrações similares,
91.02-3-02,Restauração e conservação de lugares e prédios históricos,
91.03-1-00,"Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental",
92.00-3-01,Casas de bingo,"Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
92.00-3-02,Exploração de apostas em corridas de cavalos,"Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
92.00-3-99,Exploração de jogos de azar e apostas não especificados anteriormente,"Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
93.11-5-00,Gestão de instalações de esportes,
93.12-3-00,"Clubes sociais, esportivos e similares","Clubes recreativos, de lazer, esportivo e similares"
93.13-1-00,Atividades de condicionamento físico,
93.19-1-01,Produção e promoção de eventos esportivos,
93.19-1-99,Outras atividades esportivas não especificadas anteriormente,
93.21-2-00,Parques de diversão e parques temáticos,Parques de diversão
93.29-8-01,"Discotecas, danceterias, salões de dança e similares","Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
93.29-8-02,Exploração de boliches,"Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
93.29-8-03,"Exploração de jogos de sinuca, bilhar e similares","Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
93.29-8-04,Exploração de jogos eletrônicos recreativos,"Restaurantes, bares, tabacarias, casas noturnas, casa de jogos e similares"
93.29-8-99,Outras atividades de recreação e lazer não especificadas anteriormente,
94.11-1-00,Atividades de organizações associativas patronais e empresariais,
94.12-0-01,Atividades de fiscalização profissional,
94.12-0-99,Outras atividades associativas profissionais,
94.20-1-00,Atividades de organizações sindicais,
94.30-8-00,Atividades de associações de defesa de direitos sociais,
94.91-0-00,Atividades de organizações religiosas ou filosóficas,"Templos, igrejas e centros culturais"
94.92-8-00,Atividades de organizações políticas,
94.93-6-00,Atividades de organizações associativas ligadas à cultura e à arte,
94.99-5-00,Atividades associativas não especificadas anteriormente,
95.11-8-00,Reparação e manutenção de computadores e de equipamentos periféricos,Comércio e serviços
95.12-6-00,Reparação e manutenção de equipamentos de comunicação,Comércio e serviços
95.21-5-00,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico,Comércio e serviços
95.29-1-01,"Reparação de calçados, bolsas e artigos de viagem",Comércio e serviços
95.29-1-02,Chaveiros,Comércio e serviços
95.29-1-03,Reparação de relógios,Comércio e serviços
95.29-1-04,"Reparação de bicicletas, triciclos e outros veículos não motorizados",Comércio e serviços
95.29-1-05,Reparação de artigos do mobiliário,Comércio e serviços
95.29-1-06,Reparação de jóias,Comércio e serviços
95.29-1-99,Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente,Comércio e serviços
96.01-7-01,Lavanderias,Comércio e serviços
96.01-7-02,Tinturarias,Comércio e serviços
96.01-7-03,Toalheiros,Comércio e serviços
96.02-5-01,"Cabeleireiros, manicure e pedicure",Comércio e serviços
96.02-5-02,Atividades de estética e outros serviços de cuidados com a beleza,Comércio e serviços
96.03-3-01,Gestão e manutenção de cemitérios,Cemitério e crematório
96.03-3-02,Serviços de cremação,Cemitério e crematório
96.03-3-03,Serviços de sepultamento,Cemitério e crematório
96.03-3-04,Serviços de funerárias,Comércio e serviços
96.03-3-05,Serviços de somatoconservação,Comércio e serviços
96.03-3-99,Atividades funerárias e serviços relacionados não especificados anteriormente,Comércio e serviços
96.09-2-02,Agências matrimoniais,Comércio e serviços
96.09-2-04,Exploração de máquinas de serviços pessoais acionadas por moeda,Comércio e serviços
96.09-2-05,Atividades de sauna e banhos,Comércio e serviços
96.09-2-06,Serviços de tatuagem e colocação de piercing,Comércio e serviços
96.09-2-07,Alojamento de animais domésticos,Comércio e serviços
96.09-2-08,Higiene e embelezamento de animais domésticos,Comércio e serviços
96.09-2-99,Outras atividades de serviços pessoais não especificadas anteriormente,Comércio e serviços
97.00-5-00,Serviços domésticos,Comércio e serviços
99.00-8-00,Organismos internacionais e outras instituições extraterritoriais,
